title,titleType,genres,numVotes,year,averageRating
The Shawshank Redemption,movie,Drama,3185932,1994,9.3
The Dark Knight,movie,"Action,Crime,Drama",3165032,2008,9.1
Inception,movie,"Action,Adventure,Sci-Fi",2814573,2010,8.8
Game of Thrones,tvSeries,"Action,Adventure,Drama",2611980,2011,9.2
Breaking Bad,tvSeries,"Crime,Drama,Thriller",2611328,2008,9.5
Fight Club,movie,"Crime,Drama,Thriller",2605573,1999,8.8
Interstellar,movie,"Adventure,Drama,Sci-Fi",2525474,2014,8.7
Forrest Gump,movie,"Drama,Romance",2494835,1994,8.8
Pulp Fiction,movie,"Crime,Drama",2433805,1994,8.8
The Matrix,movie,"Action,Sci-Fi",2245953,1999,8.7
The Godfather,movie,"Crime,Drama",2224627,1972,9.2
The Lord of the Rings: The Fellowship of the Ring,movie,"Adventure,Drama,Fantasy",2204973,2001,8.9
The Lord of the Rings: The Return of the King,movie,"Adventure,Drama,Fantasy",2163062,2003,9.0
Seven,movie,"Crime,Drama,Mystery",2019235,1995,8.6
The Dark Knight Rises,movie,"Action,Crime,Drama",1992446,2012,8.4
The Lord of the Rings: The Two Towers,movie,"Adventure,Drama,Fantasy",1955874,2002,8.8
Django Unchained,movie,"Drama,Western",1881415,2012,8.5
Gladiator,movie,"Action,Adventure,Drama",1848326,2000,8.5
The Wolf of Wall Street,movie,"Biography,Comedy,Crime",1785906,2013,8.2
Inglourious Basterds,movie,"Adventure,Drama,War",1781832,2009,8.4
The Silence of the Lambs,movie,"Crime,Drama,Horror",1722009,1991,8.6
Batman Begins,movie,"Action,Crime,Drama",1712557,2005,8.2
Stranger Things,tvSeries,"Drama,Fantasy,Horror",1697075,2016,8.6
Joker,movie,"Crime,Drama,Thriller",1692201,2019,8.3
Shutter Island,movie,"Drama,Mystery,Thriller",1645888,2010,8.2
Saving Private Ryan,movie,"Drama,War",1637691,1998,8.6
The Prestige,movie,"Drama,Mystery,Sci-Fi",1586379,2006,8.5
Schindler's List,movie,"Biography,Drama,History",1584568,1993,9.0
Star Wars: Episode IV - A New Hope,movie,"Action,Adventure,Fantasy",1569154,1977,8.6
The Green Mile,movie,"Crime,Drama,Fantasy",1560366,1999,8.6
The Avengers,movie,"Action,Sci-Fi",1557355,2012,8.0
The Departed,movie,"Crime,Drama,Thriller",1553126,2006,8.5
Star Wars: Episode V - The Empire Strikes Back,movie,"Action,Adventure,Fantasy",1503874,1980,8.7
Avatar,movie,"Action,Adventure,Fantasy",1496810,2009,7.9
The Godfather Part II,movie,"Crime,Drama",1494402,1974,9.0
Back to the Future,movie,"Adventure,Comedy,Sci-Fi",1452072,1985,8.5
Avengers: Endgame,movie,"Action,Adventure,Sci-Fi",1444727,2019,8.4
Memento,movie,"Drama,Mystery,Thriller",1434439,2000,8.4
Titanic,movie,"Drama,Romance",1391519,1997,8.0
GoodFellas,movie,"Biography,Crime,Drama",1390633,1990,8.7
The Truman Show,movie,"Comedy,Drama",1371647,1998,8.2
